time(d),htop(cm),hbot(cm),ctop(mg/L),cbot(mg/L), water_input(cm),ET(cm),water_drainage(cm),water_tot(cm),water_MB_error(%),pfas_in(mg),pfas_decay(mg),pfas_discharge(mg),pfas_tot(mg),pfas_MB_error(%)
 1.0000000E-08,-9.9999707E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 4.9707659E-11, 6.8285782E-10, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.6426597E-16, 2.8552151E-01, 0.0000000E+00
 2.0000000E-08,-9.9999707E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 9.9414908E-11, 1.3657160E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 5.2853211E-16, 2.8552151E-01, 1.6100715E-14
 3.5000000E-08,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 1.7397608E-10, 2.3900028E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 9.2493110E-16, 2.8552151E-01, 0.0000000E+00
 5.7500000E-08,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 2.8581801E-10, 3.9264333E-09, 4.1807694E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 1.5195297E-15, 2.8552151E-01, 1.6100715E-14
 9.1250000E-08,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 4.5358056E-10, 6.2310793E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.4114277E-15, 2.8552151E-01, 4.8302146E-14
 1.4187500E-07,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 7.0522466E-10, 9.6880480E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 3.7492746E-15, 2.8552151E-01, 6.4402861E-14
 2.1781250E-07,-9.9999709E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 1.0826909E-09, 1.4873501E-08, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 5.7560447E-15, 2.8552151E-01, 8.0503576E-14
 3.3171875E-07,-9.9999710E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 1.6488900E-09, 2.2651680E-08, 4.1807694E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 8.7662001E-15, 2.8552151E-01, 1.1270501E-13
 5.0257813E-07,-9.9999711E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 2.4981880E-09, 3.4318949E-08, 4.1807694E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 1.3281433E-14, 2.8552151E-01, 1.7710787E-13
 7.5886719E-07,-9.9999713E+01,-9.9999882E+01, 9.5699999E-04, 3.8700001E-04, 0.0000000E+00, 3.7721356E-09, 5.1819851E-08, 4.1807694E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 2.0054283E-14, 2.8552151E-01, 2.8981287E-13
 1.1433008E-06,-9.9999716E+01,-9.9999882E+01, 9.5699999E-04, 3.8700001E-04, 0.0000000E+00, 5.6830567E-09, 7.8071206E-08, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 3.0213557E-14, 2.8552151E-01, 4.0251788E-13
 1.7199512E-06,-9.9999720E+01,-9.9999882E+01, 9.5699999E-04, 3.8700002E-04, 0.0000000E+00, 8.5494388E-09, 1.1744824E-07, 4.1807694E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 4.5452469E-14, 2.8552151E-01, 5.9572646E-13
 2.5849268E-06,-9.9999726E+01,-9.9999882E+01, 9.5699998E-04, 3.8700002E-04, 0.0000000E+00, 1.2849012E-08, 1.7651378E-07, 4.1807693E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 6.8310837E-14, 2.8552151E-01, 9.0164005E-13
 3.8823901E-06,-9.9999736E+01,-9.9999882E+01, 9.5699997E-04, 3.8700004E-04, 0.0000000E+00, 1.9298372E-08, 2.6511211E-07, 4.1807693E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.0259839E-13, 2.8552151E-01, 1.3685608E-12
 5.8285852E-06,-9.9999751E+01,-9.9999882E+01, 9.5699996E-04, 3.8700005E-04, 0.0000000E+00, 2.8972412E-08, 3.9800959E-07, 4.1807693E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.5402972E-13, 2.8552151E-01, 2.0608915E-12
 8.7478778E-06,-9.9999772E+01,-9.9999882E+01, 9.5699994E-04, 3.8700008E-04, 0.0000000E+00, 4.3483472E-08, 5.9735581E-07, 4.1807693E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 2.3117673E-13, 2.8552151E-01, 3.0913373E-12
 1.3126817E-05,-9.9999805E+01,-9.9999882E+01, 9.5699990E-04, 3.8700012E-04, 0.0000000E+00, 6.5250061E-08, 8.9637514E-07, 4.1807693E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 3.4689724E-13, 2.8552151E-01, 4.6370060E-12
 1.9695225E-05,-9.9999853E+01,-9.9999882E+01, 9.5699985E-04, 3.8700018E-04, 0.0000000E+00, 9.7899944E-08, 1.3449041E-06, 4.1807692E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 5.2047805E-13, 2.8552151E-01, 6.9394082E-12
 2.9547838E-05,-9.9999927E+01,-9.9999882E+01, 9.5699978E-04, 3.8700027E-04, 0.0000000E+00, 1.4687477E-07, 2.0176976E-06, 4.1807691E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 7.8084931E-13, 2.8552151E-01, 1.0433263E-11
 4.4326756E-05,-1.0000004E+02,-9.9999882E+01, 9.5699967E-04, 3.8700040E-04, 0.0000000E+00, 2.2033701E-07, 3.0268879E-06, 4.1807690E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.1714063E-12, 2.8552151E-01, 1.5665996E-11
 6.6495135E-05,-1.0000020E+02,-9.9999882E+01, 9.5699951E-04, 3.8700060E-04, 0.0000000E+00, 3.3053037E-07, 4.5406733E-06, 4.1807689E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 1.7572422E-12, 2.8552151E-01, 2.3490943E-11
 9.9747702E-05,-1.0000045E+02,-9.9999882E+01, 9.5699926E-04, 3.8700090E-04, 0.0000000E+00, 4.9582040E-07, 6.8113513E-06, 4.1807686E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 2.6359967E-12, 2.8552151E-01, 2.3539246E-11
 1.4962655E-04,-1.0000082E+02,-9.9999882E+01, 9.5699889E-04, 3.8700136E-04, 0.0000000E+00, 7.4375546E-07, 1.0217368E-05, 4.1807683E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 3.9541299E-12, 2.8552151E-01, 2.3571447E-11
 2.2444483E-04,-1.0000137E+02,-9.9999882E+01, 9.5699834E-04, 3.8700204E-04, 0.0000000E+00, 1.1156580E-06, 1.5326394E-05, 4.1807677E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 5.9313332E-12, 2.8552151E-01, 2.3651951E-11
 3.3667224E-04,-1.0000221E+02,-9.9999882E+01, 9.5699751E-04, 3.8700305E-04, 0.0000000E+00, 1.6735119E-06, 2.2989933E-05, 4.1807669E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 8.8971460E-12, 2.8552151E-01, 2.3732454E-11
